town,lat,lon,nearest_airport,distance_km,category
Calvinia,-31.4667,19.7833,Cape Town International,299.7,regional
Bitterfontein,-31.0333,18.2667,Cape Town International,328.0,regional
Garies,-30.55,17.9833,Cape Town International,384.6,regional
Springbok,-29.6667,17.8833,Upington,357.3,regional
Kotzeshoop,-28.7167,17.5833,Upington,360.8,regional
Vioolsdrif,-28.7667,17.65,Upington,354.9,regional
Kleinsee,-29.6667,17.0833,Upington,429.8,regional
Kamieskroon,-30.2,17.9333,Upington,379.7,regional
Okiep,-29.6,17.9,Upington,353.0,regional
Port Nolloth,-29.25,16.8667,Upington,438.3,regional
Alexander Bay,-28.5833,16.4833,Upington,467.3,regional
Kimberley,-28.7333,24.7667,Kimberley,7.7,major
Pescodia,-28.7333,24.7667,Kimberley,7.7,major
Beaconsfield,-22.9333,30.1167,O.R. Tambo International,403.6,regional
Galeshewe,-27.9796,25.1093,Kimberley,97.5,regional
Boshof,-28.55,25.2333,Kimberley,53.6,regional
Mankurwane,-28.55,25.2333,Kimberley,53.6,regional
Griquatown,-28.85,23.25,Kimberley,147.7,regional
Barkly West,-28.5333,24.5167,Kimberley,38.5,major
Delportshoop,-28.4167,24.3,Kimberley,62.5,regional
Danielskuil,-28.1833,23.5333,Kimberley,138.7,regional
Postmasburg,-28.3167,23.0667,Kimberley,174.5,regional
Mancorp Mine,-28.3,23.0167,Upington,172.2,regional
Olifantshoek,-27.9333,22.7333,Upington,153.4,regional
Kuruman,-27.45,23.4333,Kimberley,199.2,regional
Hotazel,-27.2,22.9667,Upington,214.4,regional
Vryburg,-26.95,24.7333,Kimberley,206.0,regional
Mothibistad,-27.05,24.4733,Kimberley,197.0,regional
Windsorton,-28.3333,24.7167,Kimberley,52.4,regional
Warrenton,-28.1167,24.85,Kimberley,76.7,regional
Jan Kempdorp,-27.9167,24.85,Kimberley,98.9,regional
Taung Station,-28.0167,24.85,Kimberley,87.8,regional
Hartswater,-27.7667,24.8167,Kimberley,115.3,regional
Magogong,-27.6667,24.8333,Kimberley,126.5,regional
Taung Sta,-27.7167,24.825,Kimberley,120.9,regional
Taung,-24.4833,30.4167,O.R. Tambo International,285.7,regional
Ganyesa,-26.6,24.1833,Kimberley,251.5,regional
Pomfret,-26.95,24.7333,Kimberley,206.0,regional
Ritchie,-29.05,24.6,Kimberley,31.8,major
Jacobsdal,-25.6333,26.0667,O.R. Tambo International,224.6,regional
Douglas,-29.0667,23.7667,Kimberley,101.5,regional
Hopetown,-29.6167,24.0833,Kimberley,112.1,regional
Strydenburg,-29.95,23.6833,Kimberley,165.1,regional
Petrusville,-30.0833,24.65,Kimberley,142.8,regional
Vanderkloof,-30.0,24.7333,Kimberley,133.2,regional
Britstown,-30.5833,23.5,Kimberley,232.7,regional
Philipstown,-30.4333,24.4667,Kimberley,183.6,regional
Upington,-28.45,21.25,Upington,5.7,major
Grootdrink,-26.4833,22.2333,Upington,233.7,regional
Groblershoop,-28.8833,21.9833,Upington,88.8,regional
Keimoes,-28.7,20.9667,Upington,44.1,major
Kakamas,-28.75,20.6333,Upington,72.6,regional
Pofadder,-29.1333,19.3833,Upington,200.3,regional
Carnarvon,-30.95,22.1333,Upington,295.9,regional
Prieska,-29.6667,22.75,Upington,202.1,regional
Niekerkshoop,-29.3167,22.8333,Upington,184.1,regional
Bloemfontein,-29.1333,26.2,Bram Fischer (Bloemfontein),10.9,major
Mangaung,-29.1333,26.2,Bram Fischer (Bloemfontein),10.9,major
Kagisanong,-29.1833,26.2333,Bram Fischer (Bloemfontein),12.1,major
Ga-Sehunelo,-27.0333,23.5833,Kimberley,228.5,regional
Gasehunelo,-28.0833,24.8917,Kimberley,81.0,regional
Dealesville,-28.6667,25.7667,Bram Fischer (Bloemfontein),70.5,regional
Bloemspruit,-29.1333,26.25,Bram Fischer (Bloemfontein),6.8,major
Brandfort,-28.7,26.4667,Bram Fischer (Bloemfontein),46.5,major
Theunissen,-28.4,26.7167,Bram Fischer (Bloemfontein),87.0,regional
Winburg,-28.5333,27.0167,Bram Fischer (Bloemfontein),93.3,regional
Virginia,-28.1167,26.9,Bram Fischer (Bloemfontein),123.2,regional
Free State,-28.1167,26.9,Bram Fischer (Bloemfontein),123.2,regional
Welkom,-27.9833,26.7333,Bram Fischer (Bloemfontein),130.3,regional
Ventersburg,-28.0833,27.1333,Bram Fischer (Bloemfontein),138.5,regional
Motsethabong,-27.9833,26.7333,Bram Fischer (Bloemfontein),130.3,regional
Geduldpan,-27.9833,26.7333,Bram Fischer (Bloemfontein),130.3,regional
Odendaalsrus,-27.8667,26.6833,Bram Fischer (Bloemfontein),141.3,regional
Hertzogville,-28.1333,25.5,Kimberley,103.4,regional
Merafong,-28.0778,26.3778,Bram Fischer (Bloemfontein),113.1,regional
Senekal,-28.3167,27.6,Bram Fischer (Bloemfontein),153.2,regional
Motsethabang,-28.0778,26.3778,Bram Fischer (Bloemfontein),113.1,regional
Allanridge,-27.75,26.6667,Bram Fischer (Bloemfontein),153.5,regional
Kroonstad,-27.65,27.2333,Bram Fischer (Bloemfontein),184.5,regional
Lengau,-27.65,27.2333,Bram Fischer (Bloemfontein),184.5,regional
Viljoenskroon,-27.2167,26.95,O.R. Tambo International,175.7,regional
Edenville,-29.2667,21.6333,Upington,103.1,regional
Koppies,-27.2333,27.5833,O.R. Tambo International,138.3,regional
Parys,-26.9,27.45,O.R. Tambo International,115.7,regional
Vredefort,-27.0167,27.3833,O.R. Tambo International,129.8,regional
Arlington,-28.0333,27.85,Bram Fischer (Bloemfontein),191.6,regional
Marquard,-28.6667,27.4333,Bram Fischer (Bloemfontein),119.9,regional
Lindley,-27.8667,27.9167,O.R. Tambo International,195.0,regional
Petrus Steyn,-27.65,28.1333,O.R. Tambo International,168.6,regional
Heilbron,-27.2833,27.9667,O.R. Tambo International,130.4,regional
Bothaville,-27.3667,26.6167,Bram Fischer (Bloemfontein),194.4,regional
Bultfontein,-25.1167,28.5667,O.R. Tambo International,118.0,regional
Wesselsbron,-27.85,26.3667,Bram Fischer (Bloemfontein),138.3,regional
Bethlehem,-28.2333,28.3,Bram Fischer (Bloemfontein),217.1,regional
Theronville,-28.2333,28.3,Bram Fischer (Bloemfontein),217.1,regional
Bohlokong,-28.2333,28.3,Bram Fischer (Bloemfontein),217.1,regional
Clarens,-28.5167,28.4167,Bram Fischer (Bloemfontein),215.7,regional
Rosendal,-28.5167,27.9333,Bram Fischer (Bloemfontein),171.3,regional
Fouriesburg,-28.5833,28.1333,Bram Fischer (Bloemfontein),187.1,regional
Ficksburg,-28.8833,27.8833,Bram Fischer (Bloemfontein),155.5,regional
Clocolan,-28.9,27.5667,Bram Fischer (Bloemfontein),124.8,regional
Hobhouse,-29.5333,27.15,Bram Fischer (Bloemfontein),95.7,regional
Jamestown,-31.1167,26.8,Bram Fischer (Bloemfontein),230.1,regional
Burgersdorp,-30.9833,26.3167,Bram Fischer (Bloemfontein),210.2,regional
Ladybrand,-29.2,27.45,Bram Fischer (Bloemfontein),112.1,regional
Aliwal-Noord,-30.7,26.7,Bram Fischer (Bloemfontein),182.8,regional
Aliwal North,-30.7,26.7,Bram Fischer (Bloemfontein),182.8,regional
Lady Grey,-30.7,27.2333,Bram Fischer (Bloemfontein),200.0,regional
Herschel,-30.6167,27.1667,Bram Fischer (Bloemfontein),188.8,regional
Excelsior,-25.8333,30.5167,O.R. Tambo International,230.0,regional
Sterkspruit,-25.3667,30.5333,O.R. Tambo International,245.0,regional
Ga-Rapulana,-29.3154,27.4386,Bram Fischer (Bloemfontein),113.0,regional
Garapulana,-29.3154,27.4386,Bram Fischer (Bloemfontein),113.0,regional
Botshabelo,-29.2333,26.7333,Bram Fischer (Bloemfontein),44.7,major
Thaba Nchu,-29.2167,26.8333,Bram Fischer (Bloemfontein),53.4,regional
Selosesha,-29.2,26.8167,Bram Fischer (Bloemfontein),51.4,regional
Barkly East,-30.9667,27.6,King Phalo (East London),231.0,regional
Colesberg,-30.7333,25.1,Bram Fischer (Bloemfontein),216.1,regional
Venterstad,-30.7833,25.8,Bram Fischer (Bloemfontein),194.1,regional
Paul Roux,-28.3,27.95,Bram Fischer (Bloemfontein),183.3,regional
Reitz,-27.8,28.4333,O.R. Tambo International,185.9,regional
Tweeling,-27.55,28.5167,O.R. Tambo International,159.5,regional
Frankfort,-27.2833,28.5,O.R. Tambo International,130.1,regional
Vrede,-27.4167,29.1667,O.R. Tambo International,169.4,regional
Villiers,-27.0333,28.6,O.R. Tambo International,105.9,regional
Cornelia,-23.7167,29.1333,O.R. Tambo International,283.7,regional
Kestell,-28.3167,28.7,O.R. Tambo International,246.6,regional
Phuthaditjhaba,-28.5333,28.8167,Bram Fischer (Bloemfontein),252.7,regional
Witsieshoek,-28.5333,28.8,Bram Fischer (Bloemfontein),251.2,regional
Mokodumela,-28.5333,28.8,Bram Fischer (Bloemfontein),251.2,regional
Dikgakeng,-28.5333,28.8,Bram Fischer (Bloemfontein),251.2,regional
Warden,-27.85,28.9667,O.R. Tambo International,203.6,regional
Reddersburg,-29.65,26.1667,Bram Fischer (Bloemfontein),63.3,regional
Edenburg,-29.7333,25.9333,Bram Fischer (Bloemfontein),79.7,regional
Trompsburg,-30.0333,25.7833,Bram Fischer (Bloemfontein),116.0,regional
Springfontein,-30.2667,25.7,Bram Fischer (Bloemfontein),142.9,regional
Petrusburg,-29.1167,25.4167,Kimberley,72.4,regional
Dewetsdorp,-29.5833,26.6667,Bram Fischer (Bloemfontein),65.0,regional
Wepener,-29.7333,27.0333,Bram Fischer (Bloemfontein),100.4,regional
Zastron,-30.3,27.0833,Bram Fischer (Bloemfontein),154.0,regional
Rouxville,-30.4167,26.8333,Bram Fischer (Bloemfontein),155.9,regional
Smithfield,-30.2167,26.5333,Bram Fischer (Bloemfontein),127.0,regional
Philippolis,-30.2667,25.2833,Bram Fischer (Bloemfontein),163.5,regional
Jagersfontein,-29.7667,25.4167,Bram Fischer (Bloemfontein),113.9,regional
Fauresmith,-29.75,25.3167,Kimberley,118.1,regional
Luckhoff,-29.75,24.7833,Kimberley,105.3,regional
Koffiefontein,-29.4,25.0167,Kimberley,70.8,regional
Bethulie,-30.5333,21.2833,Upington,237.3,regional
