town,lat,lon,nearest_airport,distance_km,category
Kwamhlanga,-25.4283,28.7083,O.R. Tambo International,91.6,regional
Witbank,-25.8667,29.2333,O.R. Tambo International,103.6,regional
Coalville,-26.0333,29.1667,O.R. Tambo International,93.2,regional
Middelburg,-30.05,26.6167,Bram Fischer (Bloemfontein),110.7,regional
Mpumalanga,-30.05,26.6167,Bram Fischer (Bloemfontein),110.7,regional
Middleburg,-30.05,26.6167,Bram Fischer (Bloemfontein),110.7,regional
Nasaret,-26.2333,28.8,O.R. Tambo International,56.8,regional
Nebo,-24.9,29.7667,O.R. Tambo International,205.8,regional
Sekhukhune,-26.3611,28.7722,O.R. Tambo International,58.6,regional
Kwaguqa,-25.8667,29.2333,O.R. Tambo International,103.6,regional
Mpudulle,-25.0167,29.7333,O.R. Tambo International,194.7,regional
Burgersfort,-24.6667,30.3333,O.R. Tambo International,266.2,regional
Hendrina,-26.15,29.7167,O.R. Tambo International,147.3,regional
Kwazamokuhle,-26.15,29.7167,O.R. Tambo International,147.3,regional
Belfast,-25.6833,30.0333,O.R. Tambo International,186.2,regional
Lydenburg,-25.1,30.45,O.R. Tambo International,249.7,regional
Driekop,-24.5833,30.1667,O.R. Tambo International,259.4,regional
Nelspruit,-25.4667,30.9667,O.R. Tambo International,282.8,regional
Penge,-24.3667,30.3,O.R. Tambo International,285.7,regional
Carolina,-26.0693,30.1149,O.R. Tambo International,187.3,regional
Kanyamazane,-25.4333,31.2,O.R. Tambo International,306.4,regional
Acornhoek,-24.5833,31.0833,O.R. Tambo International,333.7,regional
White River,-25.3167,31.0167,O.R. Tambo International,292.6,regional
Hazyview,-25.3167,31.0167,O.R. Tambo International,292.6,regional
Witrivier,-25.3167,31.0167,O.R. Tambo International,292.6,regional
Mkhuhlu,-25.3917,30.9917,O.R. Tambo International,287.6,regional
Kabokweni,-25.3917,30.9917,O.R. Tambo International,287.6,regional
Whiteriver,-24.9333,31.0917,O.R. Tambo International,315.8,regional
Bushbuckridge,-24.8333,31.0667,O.R. Tambo International,318.5,regional
Sabie,-25.1,30.7833,O.R. Tambo International,279.7,regional
Graskop,-24.9333,30.8333,O.R. Tambo International,292.5,regional
Ximhungwe,-24.8333,31.0667,O.R. Tambo International,318.5,regional
Bosbokrand,-24.8333,31.0667,O.R. Tambo International,318.5,regional
Barberton,-25.7833,31.05,O.R. Tambo International,283.6,regional
Malelane,-25.4833,31.5167,O.R. Tambo International,335.8,regional
Shongwe Mission,-25.4667,31.9,O.R. Tambo International,373.8,regional
Komatipoort,-25.4333,31.9333,O.R. Tambo International,377.9,regional
Kwalugedlane,-25.7333,31.8167,O.R. Tambo International,360.3,regional
Skukuza,-24.9833,31.6,O.R. Tambo International,360.5,regional
Hluvukani,-24.65,31.3333,O.R. Tambo International,351.9,regional
Thulamahashe,-24.6167,31.2083,O.R. Tambo International,342.7,regional
Hoedspruit,-24.35,30.9667,O.R. Tambo International,338.5,regional
Phalaborwa,-23.95,31.1167,O.R. Tambo International,378.2,regional
Namakgale,-23.95,31.0333,O.R. Tambo International,371.8,regional
Delmore,-26.2,28.175,O.R. Tambo International,9.6,major
Primrose,-26.1833,28.1667,O.R. Tambo International,9.0,major
Germiston,-26.2167,28.1833,O.R. Tambo International,10.6,major
Elsburg,-26.2333,28.2,O.R. Tambo International,11.5,major
Katlehong,-26.3333,28.15,O.R. Tambo International,23.7,major
Tokoza,-26.3667,28.0667,O.R. Tambo International,30.9,major
Tokoza Ext,-26.35,28.1083,O.R. Tambo International,27.2,major
Alrode,-26.3,28.1333,O.R. Tambo International,21.1,major
Elandsfontein,-26.3833,27.8667,O.R. Tambo International,46.3,major
Katlehong Ext,-26.3583,28.2667,O.R. Tambo International,24.8,major
Kwenzekile,-26.3583,28.2667,O.R. Tambo International,24.8,major
Gauteng,-26.3583,28.2667,O.R. Tambo International,24.8,major
Heidelberg,-26.5,28.35,O.R. Tambo International,41.8,major
Boksburg,-26.2167,28.25,O.R. Tambo International,8.9,major
Alberton,-26.2333,28.1333,O.R. Tambo International,15.2,major
Rusloo,-26.2167,28.25,O.R. Tambo International,8.9,major
Nigel,-26.4167,28.4667,O.R. Tambo International,38.4,major
Duduza,-26.3667,28.4167,O.R. Tambo International,31.0,major
Dunnottar,-26.35,28.4167,O.R. Tambo International,29.5,major
Benoni,-26.1833,28.3167,O.R. Tambo International,9.2,major
Petit,-26.1,28.3833,O.R. Tambo International,14.8,major
Putfontein,-26.1167,28.4,O.R. Tambo International,16.0,major
Daveyton,-26.15,28.4167,O.R. Tambo International,17.6,major
Ethwathwa West Uit 2,-26.15,28.4167,O.R. Tambo International,17.6,major
Brakpan,-26.2333,28.3667,O.R. Tambo International,16.5,major
Brakpan North,-26.2333,28.3667,O.R. Tambo International,16.5,major
Minnebron,-26.2333,28.3667,O.R. Tambo International,16.5,major
Dalpark,-26.2333,28.3667,O.R. Tambo International,16.5,major
Tsakane,-26.35,28.3833,O.R. Tambo International,27.6,major
Springs,-26.25,28.4,O.R. Tambo International,20.3,major
Kwathema,-26.3,28.4,O.R. Tambo International,24.1,major
Modderfontein,-26.0833,28.1667,O.R. Tambo International,9.5,major
Edenvale,-26.1333,28.1833,O.R. Tambo International,5.8,major
Kempton Park,-26.1,28.25,O.R. Tambo International,4.2,major
Rabie Ridge,-26.1,28.25,O.R. Tambo International,4.2,major
Tembisa,-26.1,28.25,O.R. Tambo International,4.2,major
Tembisa Ext,-26.1,28.25,O.R. Tambo International,4.2,major
Olifantsfontein,-25.9639,28.2394,O.R. Tambo International,19.2,major
Halfway House,-25.9833,28.1167,O.R. Tambo International,21.1,major
Noordwyk,-25.9833,28.1167,O.R. Tambo International,21.1,major
Ivory Park,-25.9911,28.1718,O.R. Tambo International,17.6,major
Florida,-26.1667,27.9167,O.R. Tambo International,32.5,major
Allen'S Nek,-31.6667,28.0333,King Phalo (East London),153.5,regional
Roodepoort,-26.1667,27.8667,O.R. Tambo International,37.5,major
Krugersdorp,-26.1,27.7667,O.R. Tambo International,47.5,major
Dobsonville,-26.2167,27.8667,O.R. Tambo International,38.4,major
Strubens Valley,-26.1767,27.8667,O.R. Tambo International,37.6,major
Rooderpoort,-26.1767,27.8667,O.R. Tambo International,37.6,major
Strubensvallei,-26.1767,27.8667,O.R. Tambo International,37.6,major
Muldersdrif,-26.1,27.7667,O.R. Tambo International,47.5,major
Kagiso,-26.1,27.7667,O.R. Tambo International,47.5,major
Randfontein,-26.1667,27.7,O.R. Tambo International,54.1,regional
Mohlakeng,-26.2333,27.7,O.R. Tambo International,55.0,regional
Kocksvlei,-26.1111,27.7722,O.R. Tambo International,46.9,major
Westonaria,-26.3167,27.65,O.R. Tambo International,62.3,regional
Bekkersdal,-26.2833,27.7167,O.R. Tambo International,54.8,regional
Meadowlands,-26.2,27.8833,O.R. Tambo International,36.4,major
Dube,-26.25,27.9167,O.R. Tambo International,34.7,major
Soweto,-26.2667,27.8667,O.R. Tambo International,40.0,major
Diepkloof,-26.2333,27.9333,O.R. Tambo International,32.5,major
Orlando,-26.25,27.9167,O.R. Tambo International,34.7,major
Orange Farm,-26.2474,27.8987,O.R. Tambo International,36.3,major
Pimville,-26.2667,27.9,O.R. Tambo International,37.0,major
Lenasia,-26.2667,27.8833,O.R. Tambo International,38.5,major
Eldoradopark,-26.3,27.9,O.R. Tambo International,38.6,major
Tshiawelo,-26.2917,27.9,O.R. Tambo International,38.1,major
Protea Glen,-26.2917,27.9,O.R. Tambo International,38.1,major
Ennerdale,-26.4167,27.8333,O.R. Tambo International,51.2,regional
Odin Park,-26.3167,27.8333,O.R. Tambo International,45.3,major
Naledi,-23.8333,29.0833,O.R. Tambo International,269.8,regional
Kwaxuma,-25.4333,28.2889,O.R. Tambo International,78.4,regional
Meyerton,-26.5667,28.0167,O.R. Tambo International,52.8,regional
Randvaal,-26.5667,28.0167,O.R. Tambo International,52.8,regional
Walkerville,-26.4167,27.9667,O.R. Tambo International,41.4,major
De Deur,-26.5333,27.9333,O.R. Tambo International,53.7,regional
Vanderbijlpark,-26.7,27.8167,O.R. Tambo International,75.6,regional
Vereeniging,-26.6667,27.9333,O.R. Tambo International,66.4,regional
Mafatsana,-26.5833,27.8333,O.R. Tambo International,64.2,regional
Sebokeng,-26.5833,27.8333,O.R. Tambo International,64.2,regional
Masoheng,-26.7,27.8167,O.R. Tambo International,75.6,regional
Sharpeville,-26.6833,27.8833,O.R. Tambo International,70.4,regional
Palm Springs,-26.6972,27.8278,O.R. Tambo International,74.7,regional
Deneysville,-26.8833,28.1,O.R. Tambo International,84.2,regional
Roshnee,-26.5667,27.9333,O.R. Tambo International,56.8,regional
Bedworth Park,-26.7167,27.8833,O.R. Tambo International,73.7,regional
Sasolburg,-26.8167,27.8167,O.R. Tambo International,86.6,regional
Kragbron,-26.9,27.8833,O.R. Tambo International,92.0,regional
Zamdela,-26.8333,27.85,O.R. Tambo International,86.7,regional
Residensia,-26.5833,27.8333,O.R. Tambo International,64.2,regional
Oranjeville,-26.9833,28.2,O.R. Tambo International,94.2,regional
Johannesburg,-26.2,28.0833,O.R. Tambo International,17.2,major
Bedfordview,-26.1667,28.15,O.R. Tambo International,9.7,major
Bryanston,-26.2,28.0833,O.R. Tambo International,17.2,major
Strathavon,-26.2,28.0833,O.R. Tambo International,17.2,major
Randburg,-26.1,27.9833,O.R. Tambo International,26.1,major
Bramley,-26.2,28.0833,O.R. Tambo International,17.2,major
Four Ways,-26.0333,27.9833,O.R. Tambo International,28.2,major
Paulshof,-26.05,28.0333,O.R. Tambo International,22.9,major
Marlboro,-26.2,28.0833,O.R. Tambo International,17.2,major
Magaliessig,-26.2,28.0833,O.R. Tambo International,17.2,major
Magalies View,-26.2,28.0833,O.R. Tambo International,17.2,major
Witkoppen,-26.2,28.0833,O.R. Tambo International,17.2,major
Hurlingham View,-26.2,28.0833,O.R. Tambo International,17.2,major
Jeppestown,-26.2,28.0833,O.R. Tambo International,17.2,major
Marshalltown,-26.2,28.0833,O.R. Tambo International,17.2,major
Rivonia,-26.05,28.05,O.R. Tambo International,21.4,major
Jukskeipark,-26.2,28.0833,O.R. Tambo International,17.2,major
Bromhof,-26.2,28.0833,O.R. Tambo International,17.2,major
Northwold,-26.2,28.0833,O.R. Tambo International,17.2,major
Randpark Ridge,-26.2,28.0833,O.R. Tambo International,17.2,major
North Riding,-26.2,28.0833,O.R. Tambo International,17.2,major
Sandton,-26.05,27.9667,O.R. Tambo International,29.0,major
Rosettenville,-26.25,28.05,O.R. Tambo International,22.8,major
Orange Grove,-26.1667,28.0833,O.R. Tambo International,16.1,major
Roosevelt Park,-26.15,27.9833,O.R. Tambo International,25.8,major
Sundra,-26.2311,29.0356,O.R. Tambo International,80.0,regional
Delmas,-26.15,28.6833,O.R. Tambo International,44.2,major
Kriel,-26.2667,29.2333,O.R. Tambo International,100.1,regional
Ogies,-26.05,29.0667,O.R. Tambo International,83.0,regional
Van Dyksdrif,-26.2311,29.0356,O.R. Tambo International,80.0,regional
Blinkpan,-26.1,29.4333,O.R. Tambo International,119.1,regional
Evander,-26.35,28.7667,O.R. Tambo International,57.5,regional
Devon,-26.35,28.7667,O.R. Tambo International,57.5,regional
Leslie,-26.3667,28.9167,O.R. Tambo International,72.1,regional
Embalenhle,-26.5333,29.0667,O.R. Tambo International,93.4,regional
Secunda,-26.55,29.1667,O.R. Tambo International,103.1,regional
Bethal,-26.45,29.4667,O.R. Tambo International,127.1,regional
Ermelo,-26.5333,29.9833,O.R. Tambo International,179.1,regional
Breyten,-26.3,29.9833,O.R. Tambo International,174.7,regional
Dundonald,-26.5333,29.9833,O.R. Tambo International,179.1,regional
Nucam,-26.5333,29.9833,O.R. Tambo International,179.1,regional
Amsterdam,-26.6167,30.6667,O.R. Tambo International,247.5,regional
Piet Retief,-27.0,30.8,O.R. Tambo International,272.0,regional
Balfour,-26.65,28.5833,O.R. Tambo International,66.5,regional
Standerton,-26.95,29.25,O.R. Tambo International,135.1,regional
Sakhile,-26.9667,29.2,O.R. Tambo International,132.7,regional
Volksrust,-27.3667,29.8833,O.R. Tambo International,212.8,regional
Wakkerstroom,-27.35,30.1333,O.R. Tambo International,231.3,regional
Amersfoort,-26.9833,28.85,O.R. Tambo International,111.9,regional
Carletonville,-26.3667,27.4,O.R. Tambo International,87.7,regional
Fochville,-26.4833,27.5,O.R. Tambo International,83.3,regional
Kokosi,-26.5,27.4667,O.R. Tambo International,87.1,regional
Potchefstroom,-26.7167,27.1,O.R. Tambo International,130.6,regional
Boskop,-29.5,26.2,Bram Fischer (Bloemfontein),46.4,major
Carltonville,-26.7167,27.1,O.R. Tambo International,130.6,regional
Stilfontein,-26.85,26.7833,O.R. Tambo International,165.3,regional
Klerksdorp,-26.8667,26.6667,O.R. Tambo International,176.4,regional
Jouberton,-26.9,26.6,O.R. Tambo International,184.0,regional
Klerkskdorp,-26.8833,26.6333,O.R. Tambo International,180.2,regional
Hartbeesfontein,-26.7667,26.4167,O.R. Tambo International,194.7,regional
Ottosdal,-26.8167,26.0167,O.R. Tambo International,233.9,regional
Orkney,-26.9833,26.6667,O.R. Tambo International,182.7,regional
Wolmaransstad,-27.2,25.9667,Bram Fischer (Bloemfontein),213.0,regional
Leeudoringstad,-27.2333,26.2333,Bram Fischer (Bloemfontein),206.9,regional
Makwassie,-27.3167,25.9833,Bram Fischer (Bloemfontein),199.9,regional
Bloemhof,-27.65,25.6,Kimberley,152.1,regional
Christiana,-28.2333,21.25,Upington,18.5,major
Ventersdorp,-26.3167,26.8167,O.R. Tambo International,143.5,regional
Itsoseng,-26.0667,25.8833,O.R. Tambo International,235.6,regional
Delareyville,-26.6833,25.4667,Kimberley,245.6,regional
Coligny,-26.3333,26.3167,O.R. Tambo International,193.2,regional
Lichtenburg,-26.15,26.1667,O.R. Tambo International,207.1,regional
Madikwe,-25.35,26.5333,O.R. Tambo International,192.1,regional
Radithuso,-26.1811,25.8339,O.R. Tambo International,240.3,regional
Sannieshof,-26.5333,25.8,O.R. Tambo International,247.2,regional
Madibogo,-26.4167,25.2,Kimberley,268.8,regional
Schweizer-Reneke,-27.1833,25.3333,Kimberley,188.5,regional
Mmabatho,-25.85,25.6333,O.R. Tambo International,262.6,regional
Vyrburg,-26.5389,25.3833,Kimberley,259.0,regional
Swartruggens,-25.65,26.7,O.R. Tambo International,163.4,regional
Zeerust,-25.5333,26.0833,O.R. Tambo International,226.1,regional
Dinokana,-25.45,25.8667,O.R. Tambo International,249.7,regional
Lerato,-25.45,25.8667,O.R. Tambo International,249.7,regional
Ladysmith,-28.55,29.7833,King Shaka International,175.7,regional
Wasbank,-29.7167,26.3833,Bram Fischer (Bloemfontein),69.8,regional
Glencoe,-28.1833,30.15,King Shaka International,185.0,regional
Newcastle,-27.75,29.9333,King Shaka International,237.4,regional
Madadeni,-27.75,30.0333,King Shaka International,232.8,regional
Osizweni,-27.7833,30.15,King Shaka International,224.5,regional
Utrecht,-27.65,30.3333,King Shaka International,231.5,regional
Dundee,-28.1667,30.2333,King Shaka International,182.6,regional
Vryheid,-27.7667,30.8,King Shaka International,207.8,regional
Nqutu,-28.2,30.6667,King Shaka International,163.3,regional
Tugela Ferry,-28.7333,30.45,King Shaka International,117.6,regional
Pomeroy,-28.55,30.4167,King Shaka International,136.7,regional
Blood River,-28.1909,30.2879,King Shaka International,177.8,regional
Dannhauser,-28.0,30.05,King Shaka International,207.6,regional
Dannhause,-28.0,30.05,King Shaka International,207.6,regional
Emondlo,-28.2533,29.9933,King Shaka International,186.9,regional
Hlobane,-27.7167,31.0,King Shaka International,211.3,regional
Pongola,-27.3833,31.6167,King Shaka International,252.8,regional
Paulpietersburg,-27.4167,30.8167,King Shaka International,246.2,regional
Pietermaritzburg,-29.6167,30.3833,King Shaka International,71.2,regional
Edendale,-29.65,30.2833,King Shaka International,80.9,regional
Scottsville,-29.6167,30.3833,King Shaka International,71.2,regional
Howick,-29.4667,30.2333,King Shaka International,87.3,regional
Elandskop,-29.3167,29.7,King Shaka International,141.4,regional
Impendle,-29.6,29.8667,King Shaka International,121.1,regional
Dalton,-29.3333,30.6333,King Shaka International,56.5,regional
Wartburg,-29.4333,30.5833,King Shaka International,55.7,regional
Greytown,-29.4333,30.5833,King Shaka International,55.7,regional
Kokstad,-30.55,29.4167,King Shaka International,194.1,regional
Donnybrook,-29.9333,29.8667,King Shaka International,126.0,regional
Umzimkulu,-30.2667,29.9333,King Shaka International,135.4,regional
Ozwatini,-29.4,30.85,King Shaka International,35.3,major
Bulwer,-29.8,29.75,King Shaka International,133.9,regional
Kwazulu/Natal,-29.0667,30.5833,King Shaka International,80.1,regional
Umzinto,-30.0333,29.8333,King Shaka International,132.5,regional
Creighton,-30.0333,29.8333,King Shaka International,132.5,regional
Kranskop,-30.5667,26.9,Bram Fischer (Bloemfontein),173.7,regional
Amanzimtoti,-30.05,30.8833,King Shaka International,53.5,regional
Estcourt,-29.0,29.8833,King Shaka International,138.0,regional
Merrivale,-29.5167,30.2333,King Shaka International,86.4,regional
Mooi River,-29.2,29.9833,King Shaka International,119.3,regional
Highflats,-30.2667,30.2,King Shaka International,114.5,regional
Winterton,-28.8,29.5333,King Shaka International,178.6,regional
Bergville,-28.7333,29.3667,King Shaka International,196.4,regional
Colenso,-28.7333,29.8167,King Shaka International,160.0,regional
Harrismith,-28.2833,29.1333,King Shaka International,243.4,regional
Steadville,-28.55,29.7833,King Shaka International,175.7,regional
Ezakheni,-28.55,29.7833,King Shaka International,175.7,regional
Pinetown,-29.8167,30.85,King Shaka International,34.4,major
Nagina,-29.8167,30.85,King Shaka International,34.4,major
Chatsworth,-29.8167,30.85,King Shaka International,34.4,major
St Wendolins,-29.8167,30.85,King Shaka International,34.4,major
Kloof,-29.7833,30.8333,King Shaka International,33.4,major
Hillcrest,-29.7667,30.7667,King Shaka International,38.1,major
Gillitts,-29.8,30.8,King Shaka International,37.1,major
Link Hills,-29.8139,30.8389,King Shaka International,35.0,major
Clernaville,-29.8139,30.8389,King Shaka International,35.0,major
New Germany,-29.8,30.8833,King Shaka International,30.8,major
Durban,-29.85,31.0167,King Shaka International,28.0,major
Westville,-29.8333,30.9333,King Shaka International,30.3,major
Botha'S Hill,-29.7167,30.7333,King Shaka International,39.0,major
Hammarsdale,-29.8,30.65,King Shaka International,49.8,major
Cato Ridge,-29.7333,30.5833,King Shaka International,53.5,regional
Mid Illovo,-29.9667,30.5167,King Shaka International,70.1,regional
Richmond,-29.8667,30.2667,King Shaka International,87.0,regional
Gingindlovu,-29.0167,31.5833,King Shaka International,80.2,regional
Mandeni,-29.0167,31.5833,King Shaka International,80.2,regional
Eshowe,-28.8833,31.4667,King Shaka International,88.0,regional
Stanger,-28.8833,31.4667,King Shaka International,88.0,regional
Melmoth,-28.5833,31.3833,King Shaka International,117.5,regional
Nongoma,-27.9,31.65,King Shaka International,197.5,regional
Ulundi,-28.3333,31.4167,King Shaka International,145.4,regional
Nkandla,-28.6167,31.0833,King Shaka International,111.0,regional
Mahlabatini,-28.25,31.4333,King Shaka International,154.8,regional
Mtunzini,-28.95,31.75,King Shaka International,95.9,regional
Ceza,-27.9833,31.3833,King Shaka International,183.2,regional
Empangeni,-28.75,31.9,King Shaka International,122.4,regional
Kwadlangezwa,-28.7767,31.9,King Shaka International,120.1,regional
Esikhawini,-28.8833,31.9,King Shaka International,111.1,regional
Richardsbaai,-28.7901,32.0971,King Shaka International,131.9,regional
Richards Bay,-28.7901,32.0971,King Shaka International,131.9,regional
Kwambonambi,-28.6,32.0833,King Shaka International,146.6,regional
Mtubatuba,-28.4167,32.1833,King Shaka International,168.6,regional
St Lucia Estuary,-28.4167,32.1833,King Shaka International,168.6,regional
Hlabisa,-28.1333,31.8667,King Shaka International,180.0,regional
Hluhluwe,-28.0333,32.2833,King Shaka International,209.2,regional
Ingwavuma,-27.1333,31.9833,King Shaka International,288.5,regional
Mkuze,-27.6167,32.0333,King Shaka International,239.4,regional
Ubombo,-27.5667,32.0833,King Shaka International,246.4,regional
Mbazwana,-27.6167,32.0333,King Shaka International,239.4,regional
Kwangkwanase,-27.5278,32.0333,King Shaka International,248.6,regional
Jozini,-27.4333,32.0667,King Shaka International,259.6,regional
Yellowwood Park,-29.85,31.0167,King Shaka International,28.0,major
Durban North,-29.8,31.0333,King Shaka International,22.3,major
Umhlanga Rocks,-29.7167,31.0667,King Shaka International,12.5,major
Lamontville,-29.95,30.9333,King Shaka International,41.4,major
Umlazi,-29.9667,30.8833,King Shaka International,45.3,major
Inanda,-26.1167,28.05,O.R. Tambo International,19.2,major
Kwazimele,-29.85,31.0167,King Shaka International,28.0,major
Kwa-Mashu,-29.85,31.0167,King Shaka International,28.0,major
Marble Ray,-29.85,31.0167,King Shaka International,28.0,major
Mobeni,-29.95,30.95,King Shaka International,40.8,major
Durban-Noord,-29.8,31.0333,King Shaka International,22.3,major
Bluff,-29.85,31.0167,King Shaka International,28.0,major
Isipingo,-29.9667,30.8833,King Shaka International,45.3,major
Ntokozweni,-29.9667,30.8833,King Shaka International,45.3,major
Mount Edgecombe,-29.7,31.0333,King Shaka International,12.7,major
Phoenix,-29.775,31.025,King Shaka International,20.1,major
Rossburgh,-29.9,30.9667,King Shaka International,35.0,major
Queensburgh,-29.8667,30.9333,King Shaka International,33.3,major
Mayville,-29.85,30.9833,King Shaka International,29.3,major
Dormerton,-29.85,31.0,King Shaka International,28.6,major
Marianhill,-29.9,30.9833,King Shaka International,34.4,major
Northdene,-29.8333,30.9333,King Shaka International,30.3,major
Shallcross,-29.8333,30.9333,King Shaka International,30.3,major
Umbumbulu,-29.9833,30.7,King Shaka International,57.6,regional
Jacobs,-29.9333,30.9833,King Shaka International,37.8,major
Isipingo Beach,-29.9833,30.95,King Shaka International,44.2,major
Winklespruit,-30.1,30.85,King Shaka International,59.9,regional
Umbogintwini,-30.0333,30.9167,King Shaka International,50.5,regional
Doonside,-30.0667,30.8833,King Shaka International,55.2,regional
Illovo Beach,-30.1167,30.85,King Shaka International,61.6,regional
Malvern,-26.2,28.1,O.R. Tambo International,15.7,major
Umkomaas,-30.2,30.8,King Shaka International,72.0,regional
Scottburgh,-30.2833,30.75,King Shaka International,82.5,regional
Pennington,-30.2833,30.75,King Shaka International,82.5,regional
Ifafa Beach,-30.45,30.65,King Shaka International,103.3,regional
Hibberdene,-30.3167,30.6667,King Shaka International,89.5,regional
Sezela,-30.4167,30.6833,King Shaka International,98.6,regional
Umzumbe,-30.6167,30.55,King Shaka International,124.2,regional
Port Shepstone,-30.75,30.45,King Shaka International,141.7,regional
Anerley,-30.6667,30.5,King Shaka International,131.3,regional
Umtentweni,-30.7167,30.4667,King Shaka International,137.7,regional
Shelly Beach,-30.8,30.4167,King Shaka International,148.1,regional
Ndwedwe,-30.75,30.45,King Shaka International,141.7,regional
Mehlomnyama,-30.7571,30.4452,King Shaka International,142.6,regional
Izingolweni,-30.7833,30.1333,King Shaka International,160.9,regional
Uvongo,-31.4,26.5833,King Phalo (East London),216.2,regional
Margate,-30.85,30.3667,King Shaka International,155.3,regional
Manaba Beach,-30.85,30.3667,King Shaka International,155.3,regional
Munster,-30.9833,30.2333,King Shaka International,174.4,regional
Port Edward,-31.05,30.2167,King Shaka International,181.6,regional
Verulam,-29.65,31.05,King Shaka International,7.8,major
Kwamashu,-29.75,30.9833,King Shaka International,20.0,major
Tongaat,-29.5833,31.1333,King Shaka International,3.7,major
Maidstone,-29.5667,31.1333,King Shaka International,5.5,major
Umhlali,-29.114,30.6772,King Shaka International,70.2,regional
Hambanathi Heights,-29.114,30.6772,King Shaka International,70.2,regional
Desainagar,-29.114,30.6772,King Shaka International,70.2,regional
Shakaskraal,-29.45,31.2167,King Shaka International,20.5,major
Mapumulo,-29.15,31.0667,King Shaka International,51.9,regional
Darnall,-26.4,23.25,Upington,296.6,regional
Harding,-30.5833,29.8833,King Shaka International,160.5,regional
Nqabeni,-30.7333,30.0333,King Shaka International,162.4,regional
Matatiele,-30.3333,28.8,King Shaka International,237.3,regional
Mount Ayliff,-30.8,29.3667,King Shaka International,213.9,regional
Maluti,-30.25,28.5333,Bram Fischer (Bloemfontein),251.0,regional
Umtata,-31.5833,28.7833,King Phalo (East London),184.9,regional
Queen'S Mercy,-30.25,28.5333,Bram Fischer (Bloemfontein),251.0,regional
Queens Mercy,-30.25,28.5333,Bram Fischer (Bloemfontein),251.0,regional
Magadla,-30.6,27.3167,Bram Fischer (Bloemfontein),194.1,regional
Mount Fletcher,-30.6833,28.5167,King Phalo (East London),269.6,regional
Bizana,-30.85,29.85,King Shaka International,183.7,regional
Flagstaff,-31.0833,29.4833,King Shaka International,226.6,regional
Lusikisiki,-31.35,29.5833,King Shaka International,242.7,regional
Stutterheim,-32.5667,27.4167,King Phalo (East London),64.7,regional
King William'S Town,-32.8833,27.4,King Phalo (East London),43.2,major
Komga,-32.5833,27.9,King Phalo (East London),50.8,regional
Butterworth,-32.3333,28.15,King Phalo (East London),83.8,regional
Msobomvu,-32.3333,28.15,King Phalo (East London),83.8,regional
Ndabakazi,-32.3333,28.15,King Phalo (East London),83.8,regional
Kentani,-32.5167,28.3167,King Phalo (East London),73.7,regional
Nqamakwe,-32.2333,28.0667,King Phalo (East London),92.0,regional
Idutywa,-32.1,28.3,King Phalo (East London),113.1,regional
Clarkebury,-31.7833,28.3,King Phalo (East London),146.2,regional
Willowvale,-32.2667,28.5167,King Phalo (East London),107.2,regional
Engcobo,-31.6833,28.0,King Phalo (East London),151.3,regional
Elliotdale,-31.9667,28.6833,King Phalo (East London),143.5,regional
Mqanduli,-31.8167,28.75,King Phalo (East London),160.9,regional
Mount Frere,-30.9167,28.9833,King Shaka International,251.1,regional
Port St Johns,-31.5833,28.7833,King Phalo (East London),184.9,regional
Tabankulu,-30.9667,29.3,King Shaka International,230.5,regional
Ngqeleni,-31.6667,29.0333,King Phalo (East London),189.8,regional
Libode,-31.5333,29.0167,King Phalo (East London),201.1,regional
Tsolo,-31.3167,28.75,King Phalo (East London),210.0,regional
Qumbu,-31.15,28.8667,King Phalo (East London),231.5,regional
Oos-Londen,-33.0333,27.9167,King Phalo (East London),8.5,major
East London,-33.0249,27.9082,King Phalo (East London),7.8,major
Pefferville,-33.0333,27.9167,King Phalo (East London),8.5,major
Mdantsane,-32.95,27.7667,King Phalo (East London),11.0,major
Nahoon,-33.0333,27.9167,King Phalo (East London),8.5,major
Cambridge,-32.9667,27.8833,King Phalo (East London),9.3,major
Gonubie,-32.9333,28.0167,King Phalo (East London),21.1,major
Cathcart,-32.3,27.1333,King Phalo (East London),104.4,regional
Queenstown,-31.9,26.8833,King Phalo (East London),154.2,regional
Cofimvaba,-32.0167,27.5833,King Phalo (East London),115.6,regional
Lady Frere,-31.7,27.2333,King Phalo (East London),158.6,regional
Whittlesea,-32.1667,26.8167,King Phalo (East London),135.2,regional
Cradock,-32.1833,25.6167,Chief Dawid Stuurman (Gqeberha),200.3,regional
Tarkastad,-32.0167,26.2667,King Phalo (East London),184.9,regional
Tsomo,-32.0333,27.8,King Phalo (East London),111.5,regional
Dordrecht,-31.3667,27.05,King Phalo (East London),199.4,regional
Sterkstroom,-31.5667,26.55,King Phalo (East London),202.6,regional
Indwe,-31.4667,27.3333,King Phalo (East London),180.5,regional
Cala,-31.5167,27.7,King Phalo (East London),169.3,regional
Elliot,-30.9167,26.6833,Bram Fischer (Bloemfontein),206.1,regional
Maclear,-31.0833,28.3667,King Phalo (East London),223.0,regional
Molteno,-31.4,26.3667,King Phalo (East London),227.9,regional
King Williams Town,-32.8833,27.4,King Phalo (East London),43.2,major
Bisho,-32.8667,27.4333,King Phalo (East London),41.2,major
Peddie,-33.2,27.1167,King Phalo (East London),68.5,regional
Keiskammahoek,-32.6833,27.15,King Phalo (East London),74.3,regional
